,hurricane ana,#hurricanebill,hurricane bill,#hurricanedanny,hurricane danny,#hurricaneerika,hurricane erika,#hurricanefred,hurricane fred,#hurricaneida,hurricane ida
2010-04-19,0.0,,0.0,,,,,,,,
2010-04-20,0.0,,0.0,,,,,,,,
2010-04-21,0.0,,0.0,,,,,,,,
2010-04-22,0.0,,0.0,,,,,,,,
2010-04-23,0.0,,0.0,,,,,,,,
2010-04-24,0.0,,0.0,,,,,,,,
2010-04-25,0.0,,0.0,,,,,,,,
2010-04-26,0.0,,0.0,,,,,,,,
2010-04-27,0.0,,0.0,,,,,,,,
2010-04-28,0.0,,0.0,,,,,,,,
2010-04-29,0.0,,0.0,,,,,,,,
2010-04-30,0.0,,0.0,,,,,,,,
2010-05-01,0.0,,0.0,,,,,,,,
2010-05-02,0.0,,0.0,,,,,,,,
2010-05-03,0.0,,0.0,,,,,,,,
2010-05-04,0.0,,0.0,,,,,,,,
2010-05-05,0.0,,0.0,,,,,,,,
2010-05-06,0.0,,0.0,,,,,,,,
2010-05-07,0.0,,0.0,,,,,,,,
2010-05-08,0.0,,0.0,,,,,,,,
2010-05-09,0.0,,0.0,,,,,,,,
2010-05-10,0.0,,0.0,,,,,,,,
2010-05-11,0.0,,0.0,,,,,,,,
2010-05-12,0.0,,0.0,,,,,,,,
2010-05-13,0.0,,0.0,,,,,,,,
2010-05-14,0.0,,0.0,,,,,,,,
2010-05-15,0.0,,0.0,,,,,,,,
2010-05-16,0.0,,0.0,,,,,,,,
2010-05-17,0.0,,0.0,,,,,,,,
2010-05-18,0.0,,0.0,,,,,,,,
2010-05-19,0.0,,0.0,,,,,,,,
2010-05-20,0.0,,0.0,,,,,,,,
2010-05-21,0.0,,0.0,,,,,,,,
2010-05-22,0.0,,0.0,,,,,,,,
2010-05-23,0.0,,0.0,,,,,,,,
2010-05-24,0.0,,0.0,,,,,,,,
2010-05-25,0.0,,0.0,,,,,,,,
2010-05-26,0.0,,0.0,,,,,,,,
2010-05-27,9.53555892166083e-08,,0.0,,,,,,,,
2010-05-28,,,0.0,,,,,,,,
2010-05-29,,,8.291903299160372e-08,,,,,,,,
