,#hurricanedon,hurricane don,#hurricaneemily,hurricane emily,#hurricaneirene,hurricane irene,#hurricanejose,hurricane jose,#hurricanekatia,hurricane katia,#hurricanelee,hurricane lee,#hurricanemaria,hurricane maria,hurricane nate,#hurricaneophelia,hurricane ophelia,hurricane philippe,#hurricanerina,hurricane rina
2011-09-02,,,,,42.0,737.0,,,0.0,150.0,,22.0,,,,,,,,
2011-09-03,,,,,25.0,381.0,,,4.0,99.0,2.0,28.0,,,,,,,,
2011-09-04,,,,,25.0,281.0,,,8.0,163.0,2.0,18.0,,,,,,,,
2011-09-05,,,,,4.0,173.0,,,0.0,181.0,2.0,11.0,,,,,,,,
2011-09-06,,,,,5.0,135.0,,,1.0,222.0,0.0,6.0,,4.0,,,,,,
2011-09-07,,,,,5.0,138.0,,,0.0,114.0,0.0,,,0.0,,,,,,
2011-09-08,,,,,16.0,265.0,,,3.0,166.0,4.0,,,9.0,7.0,,,,,
2011-09-09,,,,,3.0,224.0,,,7.0,276.0,,,,6.0,2.0,,,,,
2011-09-10,,,,,3.0,145.0,,,17.0,177.0,,,,0.0,,,,,,
2011-09-11,,,,,3.0,108.0,,,33.0,197.0,,,,0.0,,,,,,
2011-09-12,,,,,7.0,145.0,,,80.0,407.0,,,,0.0,,,,,,
2011-09-13,,,,,5.0,123.0,,,9.0,85.0,,,,0.0,,,,,,
2011-09-14,,,,,7.0,95.0,,,0.0,25.0,,,,0.0,,,,,,
2011-09-15,,,,,7.0,140.0,,,0.0,11.0,,,,55.0,,,,,,
2011-09-16,,,,,6.0,138.0,,,0.0,0.0,,,10.0,158.0,,,,,,
2011-09-17,,,,,2.0,79.0,,,0.0,0.0,,,,10.0,,,,,,
2011-09-18,,,,,0.0,78.0,,,0.0,0.0,,,,,,,,,,
2011-09-19,,,,,2.0,88.0,,,0.0,0.0,,,,,,,,,,
2011-09-20,,,,,8.0,110.0,,,0.0,0.0,,,,,,,,,,
2011-09-21,,,,,3.0,63.0,,,0.0,35.0,,,,,,,,,,
2011-09-22,,,,,6.0,69.0,,,8.0,,,,,,,,,,,
2011-09-23,,,,,4.0,67.0,,,5.0,,,,,,,,,,,
2011-09-24,,,,,3.0,31.0,,,0.0,,,,,,,,,,,
2011-09-25,,,,,0.0,18.0,,,3.0,,,,,,,,,,,
2011-09-26,,,,,0.0,48.0,,,3.0,,,,,,,,,,,
2011-09-27,,,,,0.0,73.0,,,,,,,,,,,,,,
2011-09-28,,,,,0.0,95.0,,,,,,,,,,,,,,
2011-09-29,,,,,0.0,60.0,,,,,,,,,,,11.0,,,
2011-09-30,,,,,0.0,32.0,,,,,,,,,,,191.0,,,
2011-10-01,,,,,0.0,23.0,,,,,,,,,,3.0,203.0,,,
2011-10-02,,,,,0.0,33.0,,,,,,,,,,,192.0,,,
2011-10-03,,,,,0.0,46.0,,,,,,,,,,,96.0,,,
2011-10-04,,,,,0.0,37.0,,,,,,,,,,,10.0,,,
2011-10-05,,,,,3.0,52.0,,,,,,,,,,,0.0,,,
2011-10-06,,,,,5.0,57.0,,,,,,,,,,,10.0,33.0,,
2011-10-07,,,,,0.0,21.0,,,,,,,,,,,7.0,59.0,,
2011-10-08,,,,,0.0,11.0,,,,,,,,,,,11.0,,,
2011-10-09,,,,,0.0,13.0,,,,,,,,,,,0.0,,,
2011-10-10,,,,,0.0,20.0,,,,,,,,,,,8.0,,,
2011-10-11,,,,,0.0,27.0,,,,,,,,,,,0.0,,,
2011-10-12,,,,,0.0,28.0,,,,,,,,,,,29.0,,,
2011-10-13,,,,,0.0,20.0,,,,,,,,,,,17.0,,,
2011-10-14,,,,,0.0,37.0,,,,,,,,,,,,,,
2011-10-15,,,,,0.0,9.0,,,,,,,,,,,,,,
2011-10-16,,,,,0.0,43.0,,,,,,,,,,,,,,
2011-10-17,,,,,0.0,32.0,,,,,,,,,,,,,,
2011-10-18,,,,,0.0,19.0,,,,,,,,,,,,,,
2011-10-19,,,,,0.0,28.0,,,,,,,,,,,,,,
2011-10-20,,,,,4.0,16.0,,,,,,,,,,,,,,
2011-10-21,,,,,0.0,20.0,,,,,,,,,,,,,,
2011-10-22,,,,,0.0,10.0,,,,,,,,,,,,,,
2011-10-23,,,,,0.0,17.0,,,,,,,,,,,,,,
2011-10-24,,,,,0.0,8.0,,,,,,,,,,,,,,113.0
2011-10-25,,,,,0.0,24.0,,,,,,,,,,,,,16.0,645.0
2011-10-26,,,,,0.0,18.0,,,,,,,,,,,,,13.0,623.0
2011-10-27,,,,,0.0,26.0,,,,,,,,,,,,,8.0,306.0
2011-10-28,,,,,0.0,27.0,,,,,,,,,,,,,2.0,54.0
2011-10-29,,,,,0.0,80.0,,,,,,,,,,,,,,28.0
2011-10-30,,,,,0.0,56.0,,,,,,,,,,,,,,32.0
2011-10-31,,,,,0.0,53.0,,,,,,,,,,,,,,0.0
2011-11-01,,,,,0.0,23.0,,,,,,,,,,,,,,16.0
2011-11-02,,,,,0.0,21.0,,,,,,,,,,,,,,
2011-11-03,,,,,0.0,24.0,,,,,,,,,,,,,,
2011-11-04,,,,,0.0,13.0,,,,,,,,,,,,,,
2011-11-05,,,,,0.0,7.0,,,,,,,,,,,,,,
2011-11-06,,,,,0.0,17.0,,,,,,,,,,,,,,
2011-11-07,,,,,0.0,17.0,,,,,,,,,,,,,,
2011-11-08,,,,,0.0,20.0,,,,,,,,,,,,,,
2011-11-09,,,,,2.0,8.0,,,,,,,,,,,,,,
2011-11-10,,,,,0.0,16.0,,,,,,,,,,,,,,
2011-11-11,,,,,0.0,10.0,,,,,,,,,,,,,,
2011-11-12,,,,,0.0,8.0,,,,,,,,,,,,,,
2011-11-13,,,,,0.0,7.0,,,,,,,,,,,,,,
2011-11-14,,,,,0.0,16.0,,,,,,,,,,,,,,
2011-11-15,,,,,0.0,14.0,,,,,,,,,,,,,,
2011-11-16,,,,,0.0,12.0,,,,,,,,,,,,,,
2011-11-17,,,,,0.0,21.0,,,,,,,,,,,,,,
2011-11-18,,,,,0.0,11.0,,,,,,,,,,,,,,
2011-11-19,,,,,0.0,2.0,,,,,,,,,,,,,,
2011-11-20,,,,,0.0,7.0,,,,,,,,,,,,,,
2011-11-21,,,,,0.0,14.0,,,,,,,,,,,,,,
2011-11-22,,,,,0.0,13.0,,,,,,,,,,,,,,
2011-11-23,,,,,0.0,13.0,,,,,,,,,,,,,,
2011-11-24,,,,,0.0,4.0,,,,,,,,,,,,,,
2011-11-25,,,,,0.0,6.0,,,,,,,,,,,,,,
2011-11-26,,,,,0.0,6.0,,,,,,,,,,,,,,
2011-11-27,,,,,0.0,7.0,,,,,,,,,,,,,,
2011-11-28,,,,,0.0,20.0,,,,,,,,,,,,,,
2011-11-29,,,,,0.0,26.0,,,,,,,,,,,,,,
2011-11-30,,,,,0.0,20.0,,,,,,,,,,,,,,
2011-12-01,,,,,0.0,13.0,,,,,,,,,,,,,,
2011-12-02,,,,,0.0,16.0,,,,,,,,,,,,,,
2011-12-03,,,,,0.0,0.0,,,,,,,,,,,,,,
2011-12-04,,,,,0.0,10.0,,,,,,,,,,,,,,
2011-12-05,,,,,0.0,14.0,,,,,,,,,,,,,,
2011-12-06,,,,,0.0,46.0,,,,,,,,,,,,,,
2011-12-07,,,,,0.0,28.0,,,,,,,,,,,,,,
2011-12-08,,,,,0.0,13.0,,,,,,,,,,,,,,
2011-12-09,,,,,0.0,8.0,,,,,,,,,,,,,,
2011-12-10,,,,,0.0,0.0,,,,,,,,,,,,,,
2011-12-11,,,,,0.0,9.0,,,,,,,,,,,,,,
2011-12-12,,,,,0.0,10.0,,,,,,,,,,,,,,
2011-12-13,,,,,0.0,10.0,,,,,,,,,,,,,,
2011-12-14,,,,,0.0,8.0,,,,,,,,,,,,,,
2011-12-15,,,,,0.0,21.0,,,,,,,,,,,,,,
2011-12-16,,,,,0.0,12.0,,,,,,,,,,,,,,
2011-12-17,,,,,0.0,0.0,,,,,,,,,,,,,,
2011-12-18,,,,,0.0,10.0,,,,,,,,,,,,,,
2011-12-19,,,,,0.0,7.0,,,,,,,,,,,,,,
2011-12-20,,,,,0.0,9.0,,,,,,,,,,,,,,
2011-12-21,,,,,0.0,15.0,,,,,,,,,,,,,,
2011-12-22,,,,,0.0,20.0,,,,,,,,,,,,,,
2011-12-23,,,,,0.0,13.0,,,,,,,,,,,,,,
2011-12-24,,,,,0.0,0.0,,,,,,,,,,,,,,
2011-12-25,,,,,0.0,9.0,,,,,,,,,,,,,,
2011-12-26,,,,,0.0,0.0,,,,,,,,,,,,,,
2011-12-27,,,,,1.0,19.0,,,,,,,,,,,,,,
2011-12-28,,,,,,9.0,,,,,,,,,,,,,,
2011-12-29,,,,,,0.0,,,,,,,,,,,,,,
2011-12-30,,,,,,9.0,,,,,,,,,,,,,,
2011-12-31,,,,,,14.0,,,,,,,,,,,,,,
2012-01-01,,,,,,0.0,,,,,,,,,,,,,,
2012-01-02,,,,,,0.0,,,,,,,,,,,,,,
2012-01-03,,,,,,0.0,,,,,,,,,,,,,,
2012-01-04,,,,,,0.0,,,,,,,,,,,,,,
2012-01-05,,,,,,0.0,,,,,,,,,,,,,,
2012-01-06,,,,,,8.0,,,,,,,,,,,,,,
2012-01-07,,,,,,0.0,,,,,,,,,,,,,,
2012-01-08,,,,,,0.0,,,,,,,,,,,,,,
2012-01-09,,,,,,0.0,,,,,,,,,,,,,,
2012-01-10,,,,,,0.0,,,,,,,,,,,,,,
2012-01-11,,,,,,0.0,,,,,,,,,,,,,,
2012-01-12,,,,,,0.0,,,,,,,,,,,,,,
2012-01-13,,,,,,10.0,,,,,,,,,,,,,,
2012-01-14,,,,,,0.0,,,,,,,,,,,,,,
2012-01-15,,,,,,0.0,,,,,,,,,,,,,,
2012-01-16,,,,,,0.0,,,,,,,,,,,,,,
2012-01-17,,,,,,5.0,,,,,,,,,,,,,,
2012-01-18,,,,,,0.0,,,,,,,,,,,,,,
2012-01-19,,,,,,10.0,,,,,,,,,,,,,,
2012-01-20,,,,,,9.0,,,,,,,,,,,,,,
2012-01-21,,,,,,0.0,,,,,,,,,,,,,,
2012-01-22,,,,,,0.0,,,,,,,,,,,,,,
2012-01-23,,,,,,0.0,,,,,,,,,,,,,,
2012-01-24,,,,,,0.0,,,,,,,,,,,,,,
2012-01-25,,,,,,0.0,,,,,,,,,,,,,,
2012-01-26,,,,,,0.0,,,,,,,,,,,,,,
2012-01-27,,,,,,0.0,,,,,,,,,,,,,,
2012-01-28,,,,,,0.0,,,,,,,,,,,,,,
2012-01-29,,,,,,0.0,,,,,,,,,,,,,,
2012-01-30,,,,,,0.0,,,,,,,,,,,,,,
2012-01-31,,,,,,11.0,,,,,,,,,,,,,,
2012-02-01,,,,,,0.0,,,,,,,,,,,,,,
2012-02-02,,,,,,0.0,,,,,,,,,,,,,,
2012-02-03,,,,,,0.0,,,,,,,,,,,,,,
2012-02-04,,,,,,0.0,,,,,,,,,,,,,,
2012-02-05,,,,,,0.0,,,,,,,,,,,,,,
2012-02-06,,,,,,0.0,,,,,,,,,,,,,,
2012-02-07,,,,,,0.0,,,,,,,,,,,,,,
2012-02-08,,,,,,0.0,,,,,,,,,,,,,,
2012-02-09,,,,,,0.0,,,,,,,,,,,,,,
2012-02-10,,,,,,0.0,,,,,,,,,,,,,,
2012-02-11,,,,,,0.0,,,,,,,,,,,,,,
2012-02-12,,,,,,0.0,,,,,,,,,,,,,,
2012-02-13,,,,,,0.0,,,,,,,,,,,,,,
2012-02-14,,,,,,10.0,,,,,,,,,,,,,,
2012-02-15,,,,,,11.0,,,,,,,,,,,,,,
2012-02-16,,,,,,0.0,,,,,,,,,,,,,,
2012-02-17,,,,,,0.0,,,,,,,,,,,,,,
2012-02-18,,,,,,5.0,,,,,,,,,,,,,,
2012-02-19,,,,,,0.0,,,,,,,,,,,,,,
2012-02-20,,,,,,0.0,,,,,,,,,,,,,,
2012-02-21,,,,,,0.0,,,,,,,,,,,,,,
2012-02-22,,,,,,13.0,,,,,,,,,,,,,,
2012-02-23,,,,,,0.0,,,,,,,,,,,,,,
2012-02-24,,,,,,0.0,,,,,,,,,,,,,,
2012-02-25,,,,,,0.0,,,,,,,,,,,,,,
2012-02-26,,,,,,0.0,,,,,,,,,,,,,,
2012-02-27,,,,,,12.0,,,,,,,,,,,,,,
2012-02-28,,,,,,0.0,,,,,,,,,,,,,,
2012-02-29,,,,,,14.0,,,,,,,,,,,,,,
2012-03-01,,,,,,0.0,,,,,,,,,,,,,,
2012-03-02,,,,,,0.0,,,,,,,,,,,,,,
2012-03-03,,,,,,9.0,,,,,,,,,,,,,,
2012-03-04,,,,,,0.0,,,,,,,,,,,,,,
2012-03-05,,,,,,0.0,,,,,,,,,,,,,,
2012-03-06,,,,,,0.0,,,,,,,,,,,,,,
2012-03-07,,,,,,0.0,,,,,,,,,,,,,,
2012-03-08,,,,,,10.0,,,,,,,,,,,,,,
2012-03-09,,,,,,0.0,,,,,,,,,,,,,,
2012-03-10,,,,,,0.0,,,,,,,,,,,,,,
2012-03-11,,,,,,0.0,,,,,,,,,,,,,,
2012-03-12,,,,,,0.0,,,,,,,,,,,,,,
2012-03-13,,,,,,0.0,,,,,,,,,,,,,,
2012-03-14,,,,,,0.0,,,,,,,,,,,,,,
2012-03-15,,,,,,13.0,,,,,,,,,,,,,,
2012-03-16,,,,,,0.0,,,,,,,,,,,,,,
2012-03-17,,,,,,0.0,,,,,,,,,,,,,,
2012-03-18,,,,,,10.0,,,,,,,,,,,,,,
2012-03-19,,,,,,0.0,,,,,,,,,,,,,,
2012-03-20,,,,,,0.0,,,,,,,,,,,,,,
2012-03-21,,,,,,0.0,,,,,,,,,,,,,,
2012-03-22,,,,,,0.0,,,,,,,,,,,,,,
2012-03-23,,,,,,0.0,,,,,,,,,,,,,,
2012-03-24,,,,,,0.0,,,,,,,,,,,,,,
2012-03-25,,,,,,0.0,,,,,,,,,,,,,,
2012-03-26,,,,,,12.0,,,,,,,,,,,,,,
2012-03-27,,,,,,0.0,,,,,,,,,,,,,,
2012-03-28,,,,,,0.0,,,,,,,,,,,,,,
2012-03-29,,,,,,0.0,,,,,,,,,,,,,,
2012-03-30,,,,,,0.0,,,,,,,,,,,,,,
2012-03-31,,,,,,0.0,,,,,,,,,,,,,,
2012-04-01,,,,,,0.0,,,,,,,,,,,,,,
2012-04-02,,,,,,0.0,,,,,,,,,,,,,,
2012-04-03,,,,,,0.0,,,,,,,,,,,,,,
2012-04-04,,,,,,0.0,,,,,,,,,,,,,,
2012-04-05,,,,,,0.0,,,,,,,,,,,,,,
2012-04-06,,,,,,0.0,,,,,,,,,,,,,,
2012-04-07,,,,,,0.0,,,,,,,,,,,,,,
2012-04-08,,,,,,0.0,,,,,,,,,,,,,,
2012-04-09,,,,,,0.0,,,,,,,,,,,,,,
2012-04-10,,,,,,0.0,,,,,,,,,,,,,,
2012-04-11,,,,,,0.0,,,,,,,,,,,,,,
2012-04-12,,,,,,0.0,,,,,,,,,,,,,,
2012-04-13,,,,,,0.0,,,,,,,,,,,,,,
2012-04-14,,,,,,0.0,,,,,,,,,,,,,,
2012-04-15,,,,,,0.0,,,,,,,,,,,,,,
2012-04-16,,,,,,0.0,,,,,,,,,,,,,,
2012-04-17,,,,,,0.0,,,,,,,,,,,,,,
2012-04-18,,,,,,0.0,,,,,,,,,,,,,,
2012-04-19,,,,,,0.0,,,,,,,,,,,,,,
2012-04-20,,,,,,0.0,,,,,,,,,,,,,,
2012-04-21,,,,,,0.0,,,,,,,,,,,,,,
2012-04-22,,,,,,0.0,,,,,,,,,,,,,,
2012-04-23,,,,,,0.0,,,,,,,,,,,,,,
2012-04-24,,,,,,0.0,,,,,,,,,,,,,,
2012-04-25,,,,,,0.0,,,,,,,,,,,,,,
2012-04-26,,,,,,0.0,,,,,,,,,,,,,,
2012-04-27,,,,,,0.0,,,,,,,,,,,,,,
2012-04-28,,,,,,0.0,,,,,,,,,,,,,,
2012-04-29,,,,,,0.0,,,,,,,,,,,,,,
2012-04-30,,,,,,0.0,,,,,,,,,,,,,,
2012-05-01,,,,,,0.0,,,,,,,,,,,,,,
2012-05-02,,,,,,0.0,,,,,,,,,,,,,,
2012-05-03,,,,,,0.0,,,,,,,,,,,,,,
2012-05-04,,,,,,0.0,,,,,,,,,,,,,,
2012-05-05,,,,,,0.0,,,,,,,,,,,,,,
2012-05-06,,,,,,0.0,,,,,,,,,,,,,,
2012-05-07,,,,,,0.0,,,,,,,,,,,,,,
2012-05-08,,,,,,0.0,,,,,,,,,,,,,,
2012-05-09,,,,,,0.0,,,,,,,,,,,,,,
2012-05-10,,,,,,0.0,,,,,,,,,,,,,,
2012-05-11,,,,,,0.0,,,,,,,,,,,,,,
2012-05-12,,,,,,0.0,,,,,,,,,,,,,,
2012-05-13,,,,,,0.0,,,,,,,,,,,,,,
2012-05-14,,,,,,0.0,,,,,,,,,,,,,,
2012-05-15,,,,,,0.0,,,,,,,,,,,,,,
2012-05-16,,,,,,0.0,,,,,,,,,,,,,,
2012-05-17,,,,,,0.0,,,,,,,,,,,,,,
2012-05-18,,,,,,0.0,,,,,,,,,,,,,,
2012-05-19,,,,,,0.0,,,,,,,,,,,,,,
2012-05-20,,,,,,0.0,,,,,,,,,,,,,,
2012-05-21,,,,,,0.0,,,,,,,,,,,,,,
2012-05-22,,,,,,0.0,,,,,,,,,,,,,,
2012-05-23,,,,,,0.0,,,,,,,,,,,,,,
2012-05-24,,,,,,0.0,,,,,,,,,,,,,,
2012-05-25,,,,,,0.0,,,,,,,,,,,,,,
2012-05-26,,,,,,0.0,,,,,,,,,,,,,,
2012-05-27,,,,,,0.0,,,,,,,,,,,,,,
2012-05-28,,,,,,0.0,,,,,,,,,,,,,,
2012-05-29,,,,,,0.0,,,,,,,,,,,,,,
2012-05-30,,,,,,0.0,,,,,,,,,,,,,,
2012-05-31,,,,,,0.0,,,,,,,,,,,,,,
2012-06-01,,,,,,12.0,,,,,,,,,,,,,,
2012-06-02,,,,,,0.0,,,,,,,,,,,,,,
2012-06-03,,,,,,0.0,,,,,,,,,,,,,,
2012-06-04,,,,,,0.0,,,,,,,,,,,,,,
2012-06-05,,,,,,0.0,,,,,,,,,,,,,,
2012-06-06,,,,,,0.0,,,,,,,,,,,,,,
2012-06-07,,,,,,0.0,,,,,,,,,,,,,,
2012-06-08,,,,,,0.0,,,,,,,,,,,,,,
2012-06-09,,,,,,0.0,,,,,,,,,,,,,,
2012-06-10,,,,,,0.0,,,,,,,,,,,,,,
2012-06-11,,,,,,0.0,,,,,,,,,,,,,,
2012-06-12,,,,,,0.0,,,,,,,,,,,,,,
2012-06-13,,,,,,0.0,,,,,,,,,,,,,,
2012-06-14,,,,,,0.0,,,,,,,,,,,,,,
2012-06-15,,,,,,0.0,,,,,,,,,,,,,,
2012-06-16,,,,,,0.0,,,,,,,,,,,,,,
2012-06-17,,,,,,0.0,,,,,,,,,,,,,,
2012-06-18,,,,,,0.0,,,,,,,,,,,,,,
2012-06-19,,,,,,0.0,,,,,,,,,,,,,,
2012-06-20,,,,,,0.0,,,,,,,,,,,,,,
2012-06-21,,,,,,0.0,,,,,,,,,,,,,,
2012-06-22,,,,,,10.0,,,,,,,,,,,,,,
2012-06-23,,,,,,0.0,,,,,,,,,,,,,,
2012-06-24,,,,,,0.0,,,,,,,,,,,,,,
2012-06-25,,,,,,0.0,,,,,,,,,,,,,,
2012-06-26,,,,,,0.0,,,,,,,,,,,,,,
2012-06-27,,,,,,0.0,,,,,,,,,,,,,,
2012-06-28,,,,,,0.0,,,,,,,,,,,,,,
2012-06-29,,,,,,12.0,,,,,,,,,,,,,,
2012-06-30,,,,,,25.0,,,,,,,,,,,,,,
2012-07-01,,,,,,0.0,,,,,,,,,,,,,,
2012-07-02,,,,,,0.0,,,,,,,,,,,,,,
2012-07-03,,,,,,0.0,,,,,,,,,,,,,,
2012-07-04,,,,,,0.0,,,,,,,,,,,,,,
2012-07-05,,,,,,0.0,,,,,,,,,,,,,,
2012-07-06,,,,,,0.0,,,,,,,,,,,,,,
2012-07-07,,,,,,0.0,,,,,,,,,,,,,,
2012-07-08,,,,,,0.0,,,,,,,,,,,,,,
2012-07-09,,,,,,0.0,,,,,,,,,,,,,,
2012-07-10,,,,,,0.0,,,,,,,,,,,,,,
2012-07-11,,,,,,0.0,,,,,,,,,,,,,,
2012-07-12,,,,,,0.0,,,,,,,,,,,,,,
2012-07-13,,,,,,0.0,,,,,,,,,,,,,,
2012-07-14,,,,,,0.0,,,,,,,,,,,,,,
2012-07-15,,,,,,0.0,,,,,,,,,,,,,,
2012-07-16,,,,,,0.0,,,,,,,,,,,,,,
2012-07-17,,,,,,0.0,,,,,,,,,,,,,,
2012-07-18,,,,,,12.0,,,,,,,,,,,,,,
2012-07-19,,,,,,0.0,,,,,,,,,,,,,,
2012-07-20,,,,,,0.0,,,,,,,,,,,,,,
2012-07-21,,,,,,0.0,,,,,,,,,,,,,,
2012-07-22,,,,,,0.0,,,,,,,,,,,,,,
2012-07-23,,,,,,0.0,,,,,,,,,,,,,,
2012-07-24,,,,,,0.0,,,,,,,,,,,,,,
2012-07-25,,,,,,0.0,,,,,,,,,,,,,,
2012-07-26,,,,,,40.0,,,,,,,,,,,,,,
2012-07-27,,,,,,0.0,,,,,,,,,,,,,,
2012-07-28,,,,,,0.0,,,,,,,,,,,,,,
2012-07-29,,,,,,9.0,,,,,,,,,,,,,,
