,#hurricanealex,hurricane alex,#hurricanebonnie,hurricane bonnie,#hurricanecolin,hurricane colin,#hurricanedanielle,hurricane danielle,#hurricaneearl,hurricane earl,hurricane fiona,hurricane gaston,#hurricanehermine,hurricane hermine,#hurricaneigor,hurricane igor,hurricane julia,#hurricanekarl,hurricane karl,hurricane lisa,hurricane matthew,hurricane nicole,hurricane otto,#hurricanepaula,hurricane paula,#hurricanerichard,hurricane richard,hurricane shary,#hurricanetomas,hurricane tomas
2010-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-17,,1.0224240078244064e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,,,,,,,1.480094651066206e-07,4.543092953530763e-06,,,,,,,,,,,,,,,,,,,,,,
2010-08-24,,1.0421400262066952e-07,,,,,1.9464655786053848e-07,6.357054159860841e-06,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,,1.0440627362681345e-07,,,,,,4.9070948604602315e-06,,1.0440627362681345e-07,,,,,,,,,,,,,,,,,,,,
2010-08-26,,1.0462401529184607e-07,,,,,,4.13264860402792e-06,,,,,,,,,,,,,,,,,,,,,,
2010-08-27,,,,,,,1.5071889900447153e-07,1.0873503527348396e-05,,,,,,,,,,,,,,,,,,,,,,
2010-08-28,,1.7601824206122525e-07,,,,,5.469185569356985e-08,6.219311219496626e-06,,1.7601824206122525e-07,,,,,,,,,,,,,,,,,,,,
2010-08-29,,,,,,,5.301641112403062e-08,2.559280180268871e-06,2.120656444961225e-07,1.3365129830292994e-05,,,,,,,,,,,,,,,,,,,,
2010-08-30,,,,1.5645219000993316e-07,,,4.866988845104916e-08,2.50323504015893e-06,2.2874847571993104e-06,0.00017694742690123439,9.38713140059599e-07,,,,,,,,,,,,,,,,,,,
2010-08-31,,,,1.0210793145310767e-07,,,4.767022273816234e-08,5.615936229920922e-07,2.8602133642897403e-06,0.00015642935098616095,4.0843172581243067e-07,,,,,,,,,,,,,,,,,,,
2010-09-01,,,,,,,,1.767753437286074e-07,3.0255100556127257e-06,6.039824244060754e-05,,8.83876718643037e-08,,,,,,,,,,,,,,,,,,
2010-09-02,,,,,,,,,3.865631265956192e-06,7.61890609714529e-05,,1.629364007088385e-07,,,,,,,,,,,,,,,,,,
2010-09-03,,,,,,,,,4.9914007286786295e-06,7.4038657026696e-05,,,,,,,,,,,,,,,,,,,,
2010-09-04,,,,,,,,,1.4914499318324523e-06,2.2831207755787924e-05,,,,,,,,,,,,,,,,,,,,
2010-09-05,,,,,,,,,1.4200389016817037e-07,5.484209376876818e-06,,,,,,,,,,,,,,,,,,,,
2010-09-06,,,,,,,,,5.0764915595205434e-08,2.5575492105117664e-06,,,7.614737339280816e-08,6.801992581148315e-07,,,,,,,,,,,,,,,,
2010-09-07,,,,,,,,,4.7252515481755105e-08,1.972677655745746e-06,,,,5.563962618770054e-07,,,,,,,,,,,,,,,,
2010-09-08,,,,,,,,,4.720107980966259e-08,1.5409985311757771e-06,,,,2.778849810316975e-07,,,,,,,,,,,,,,,,
2010-09-09,,,,,,,,,,9.894523617124255e-07,,,,,,,,,,,,,,,,,,,,
2010-09-10,,,,,,,,,,8.46205431016487e-07,,,,,,,,,,,,,,,,,,,,
2010-09-11,,,,,,,,,,2.5634999590267255e-07,,,,,,8.829833192203167e-07,,,,,,,,,,,,,,
2010-09-12,,,,,,,,,,4.684375529226571e-07,,,,,4.589249861180928e-08,1.0576826852832627e-05,,,,,,,,,,,,,,
2010-09-13,,,,,,,,,,3.3711224053508115e-07,,,,,1.6955830183485094e-07,1.0035572083621262e-05,,,,,,,,,,,,,,
2010-09-14,,,,,,,,,,2.578410295055999e-07,,,,,7.227446836467018e-08,5.466229825518717e-06,3.6871267219300783e-06,,,,,,,,,,,,,
2010-09-15,,,,,,,,,,1.5871582671899822e-06,,,,,,2.4185268833371157e-06,2.216982976392356e-06,,,,,,,,,,,,,
2010-09-16,,,,,,,,,,1.4011064665139376e-06,,,,,,2.57294096578014e-06,8.151892168808364e-07,4.760192792568292e-08,3.999522095321604e-06,,,,,,,,,,,
2010-09-17,,,,,,,,,,6.410976103968082e-07,,,,,9.976942039828203e-08,3.2322004524172413e-06,5.342480086640068e-07,7.482706529871151e-08,1.6241139463385806e-05,,,,,,,,,,,
2010-09-18,,,,,,,,,,1.171471951871715e-07,,,,,1.6375731776867336e-07,1.1099696743984498e-05,,,1.7279211290107794e-06,,,,,,,,,,,
2010-09-19,,,,,,,,,,1.0848749179902367e-07,,,,,2.0220742260479304e-07,1.1933624097892603e-05,,,4.0682809424633875e-07,,,,,,,,,,,
2010-09-20,,,,,,,,,,,,,,,1.8842807599059347e-07,8.270981772344806e-06,1.0086563137005863e-07,,4.538953411652638e-07,,,,,,,,,,,
2010-09-21,,,,,,,,,,1.0511682421050696e-07,,,,,9.820963829390217e-08,6.701197543419818e-06,,,1.3139603026313369e-06,,,,,,,,,,,
2010-09-22,,,,,,,,,,,,,,,,1.6928245680758114e-06,,,1.02595428368231e-07,,,,,,,,,,,
2010-09-23,,,,,,,,,,,,,,,,9.581047803041172e-07,,,,,,,,,,,,,,
2010-09-24,,,,,,,,,,,,,,,,5.138506516204345e-07,,,1.027701303240869e-07,4.367730538773693e-07,1.7984772806715206e-07,,,,,,,,,
2010-09-25,,,,,,,,,,,,,,,,3.096866202260611e-07,,,,1.2105931517927842e-06,,,,,,,,,,
2010-09-26,,,,,,,,,,,,,,,,2.3343473446405035e-07,,,,,,,,,,,,,,
2010-09-27,,,,,,,,,,,,,,,,2.50801247284763e-07,,,,,,,,,,,,,,
2010-09-28,,,,,,,,,,,,,,,,2.1836167276614507e-07,,,,,,,,,,,,,,
2010-09-29,,,,,,,,,,3.003208136138592e-07,,,,,,1.911132450270013e-07,,,,,,1.0920756858685789e-07,,,,,,,,
2010-09-30,,,,,,,,,,1.9155283730525438e-07,,,,,,,,,,,,2.736469104360777e-07,,,,,,,,
2010-10-01,,,,,,,,,,,,,,,,1.1433608749912104e-07,,,,,,1.429201093739013e-07,,,,,,,,
2010-10-02,,,,,,,,,,,,,,,,1.1380837594366349e-07,,,8.535628195774762e-08,,,,,,,,,,,
2010-10-03,,,,,,,,,,1.0613121628443421e-07,,,,,,,,,,,,,,,,,,,,
2010-10-04,,,,,,,,,,,,,,,,4.5206753369075674e-07,,,,,,,,,,,,,,
2010-10-05,,,,,,,,,,,,,,,,1.147332032813352e-07,,,,,,,,,,,,,,
2010-10-06,,,,,,,,,,,,,,,,,,,1.051101949005789e-07,,,,,,,,,,,
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,1.6782198765470475e-06,,,,,,,
2010-10-09,,,,,,,,,,,,,,,,,,,,,,,9.640016001292442e-07,,,,,,,
2010-10-10,,,,,,,,,,,,,,,,,,,,,,,2.595742371069909e-07,,,,,,,
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,9.880163469904654e-06,,,,,
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,1.376664149482158e-07,7.693339819712919e-06,,,,,
2010-10-14,,,,,,,,,,1.0302681447992425e-07,,,,,,,,,,,,,,,4.971043798656345e-06,,,,,
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,6.119825126871261e-07,,,,,
2010-10-16,,,,,,,,,,,,,,,,,,,,,,,,,1.1529426237526818e-07,,,,,
2010-10-17,,,,,,,,,,8.843543390875126e-08,,,,,,,,,,,,,,,,,,,,
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,8.993158364842362e-08,,,,,
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,1.2446189289550046e-07,,,,,
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2812928962847535e-07,,,
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035391868384299e-07,,,
2010-10-23,,,,,,,,,,8.644937960899465e-08,,,,,,,,,,,,,,,,,,,,
2010-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,5.042552332399456e-06,,,
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,1.2095857371455888e-07,6.9943602142139396e-06,,,
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9095245773360096e-07,,,
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0764137174703474e-07,,,
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.002713346486879e-07,5.5925042993774927e-08,5.732591245894969e-06
2010-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0370008469877252e-07,7.313651863043293e-06
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0364404496399035e-06
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3479639907056264e-07,1.5865688809456597e-06
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.569345287977999e-07,1.343479288923282e-06
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8264339122605257e-07,2.0748120053946676e-06
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.740034375101253e-07,1.416874193464554e-05
2010-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.131118756888696e-08,9.968565133288597e-06
2010-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.602176698231369e-08,2.9539080770597677e-06
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.213630618575092e-08,1.6275766022226978e-06
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2489830431082455e-06
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0687152179952834e-07,,,4.6310992779795615e-07
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5209753834174947e-07
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2658933780171445e-07
2010-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1246090437235625e-07
2010-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.923196341268995e-07
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9448481517018898e-07
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.872344985014932e-08
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-10,,,,,,,,,,,,,,,,8.855841446963019e-08,,,,,,,,,,,,,,
2010-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-25,,,,,,,,,,,,8.172551771140437e-08,,,,,,,,,,,,,,,,,,
2010-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-27,,,,,,,,,,3.781954601122816e-07,,,,,,,,,,,,,,,,,,,,
2010-12-28,,,,,,,,,,8.30007837764012e-08,,,,,,,,,,,,,,,,,,,,
2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-19,,,,,,,,,,3.283247868640247e-07,,,,,,,,,,,,,,,,,,,,
2011-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
