,#hurricaneandrea,hurricane andrea,hurricane chantal,hurricane erin,hurricane humberto,#hurricaneingrid,hurricane ingrid,#hurricanekaren,hurricane karen
2013-08-11,,,,,,,,,
2013-08-12,,,,,,,,,
2013-08-13,,,,,,,,,
2013-08-14,,,,,,,,,
2013-08-15,,,,,,,,,
2013-08-16,,,,,,,,,
2013-08-17,,,,,,,,,
2013-08-18,,,,,,,,,
2013-08-19,,,,,,,,,
2013-08-20,,,,,,,,,
2013-08-21,,,,,,,,,
2013-08-22,,,,,,,,,
2013-08-23,,,,,,,,,
2013-08-24,,,,,,,,,
2013-08-25,,,,,,,,,
2013-08-26,,,,,,,,,
2013-08-27,,,,,,,,,
2013-08-28,,,,,,,,,
2013-08-29,,,,,,,,,
2013-08-30,,,,,,,,,
2013-08-31,,,,,,,,,
2013-09-01,,,,,,,,,
2013-09-02,,,,,,,,,
2013-09-03,,,,,,,,,
2013-09-04,,,,,,,,,
2013-09-05,,,,,,,,,
2013-09-06,,,,,,,,,
2013-09-07,,,,,,,,,
2013-09-08,,,,,,,,,
2013-09-09,,,,,,,,,
2013-09-10,,,,,,,,,
2013-09-11,,,,,1.0603460807843255e-06,,,,
2013-09-12,,,,,5.667633170175332e-07,,,,
2013-09-13,,,,,1.536017429157989e-07,,,,
2013-09-14,,,,,,2.383958302623977e-08,1.2540805808083776e-06,,
2013-09-15,,,,,,1.6869453025993773e-08,2.3510093476588173e-06,,
2013-09-16,,,,,,,1.1580901770269564e-06,,
2013-09-17,,,,,,2.732085021830179e-08,2.2609293435053986e-07,,
2013-09-18,,,,,,,1.1555825383520008e-07,,
2013-09-19,,,,,,,9.088444470013268e-08,,
2013-09-20,,,,,,,8.923857570124272e-08,,
2013-09-21,,,,,,1.9817376926410055e-08,,,
2013-09-22,,,,,,,,,
2013-09-23,,,,,,,,,
2013-09-24,,,,,,,,,
2013-09-25,,,,,,,,,
2013-09-26,,,,,,,,,
2013-09-27,,,,,,,,,
2013-09-28,,,,,,,,,
2013-09-29,,,,,,,,,
2013-09-30,,,,,,,,,
2013-10-01,,,,,,,,,
2013-10-02,,,,,,,,,
2013-10-03,,,,,,,,1.3321877242562258e-07,9.794924308551274e-07
2013-10-04,,,,,,,,1.6204753849275878e-07,5.133129103236745e-07
2013-10-05,,,,,,,,5.709997165297862e-08,2.9206240654705065e-07
2013-10-06,,,,,,,,1.7640617040911916e-08,1.9545431331462766e-07
2013-10-07,,,,,,,,,1.1500006612503802e-07
2013-10-08,,,,,,,,,
2013-10-09,,,,,,,,,
2013-10-10,,,,,,,,,
2013-10-11,,,,,,,,,
2013-10-12,,,,,,,,,
2013-10-13,,,,,,,,,
2013-10-14,,,,,,,,,
2013-10-15,,,,,,,,,
2013-10-16,,,,,,,,,
2013-10-17,,,,,,,,,
2013-10-18,,,,,,,,,
2013-10-19,,,,,,,,,
2013-10-20,,,,,,,,,
2013-10-21,,,,,,,,,
2013-10-22,,,,,,,,,
2013-10-23,,,,,,,,,
2013-10-24,,,,,,,,,
2013-10-25,,,,,,,,,
2013-10-26,,,,,,,,,
2013-10-27,,,,,,,,,
2013-10-28,,,,,,,,,
2013-10-29,,,,,,,,,
2013-10-30,,,,,,,,,
2013-10-31,,,,,,,,,
2013-11-01,,,,,,,,,
2013-11-02,,,,,,,,,
2013-11-03,,,,,,,,,
2013-11-04,,,,,,,,,
2013-11-05,,,,,,,,,
2013-11-06,,,,,,,,,
2013-11-07,,,,,,,,,
2013-11-08,,,,,,,,,
2013-11-09,,,,,,,,,
2013-11-10,,,,,,,,,
2013-11-11,,,,,,,,,
2013-11-12,,,,,,,,,
2013-11-13,,,,,,,,,
2013-11-14,,,,,,,,,
2013-11-15,,,,,,,,,
2013-11-16,,,,,,,,,
2013-11-17,,,,,,,,,
2013-11-18,,,,,,,,,
2013-11-19,,,,,,,,,
2013-11-20,,,,,,,,,
2013-11-21,,,,,,,,,
2013-11-22,,,,,,,,,
2013-11-23,,,,,,,,,
2013-11-24,,,,,,,,,
2013-11-25,,,,,,,,,
2013-11-26,,,,,,,,,
2013-11-27,,,,,,,,,
2013-11-28,,,,,,,,,
2013-11-29,,,,,,,,,
2013-11-30,,,,,,,,,
2013-12-01,,,,,,,,,
2013-12-02,,,,,,,,,
2013-12-03,,,,,,,,,
2013-12-04,,,,,,,,,
2013-12-05,,,,,,,,,
2013-12-06,,,,,,,,,
2013-12-07,,,,,,,,,
2013-12-08,,,,,,,,,
2013-12-09,,,,,,,,,
2013-12-10,,,,,,,,,
2013-12-11,,,,,,,,,
2013-12-12,,,,,,,,,
2013-12-13,,,,,,,,,
2013-12-14,,,,,,,,,
2013-12-15,,,,,,,,,
2013-12-16,,,,,,,,,
2013-12-17,,,,,,,,,
2013-12-18,,,,,,,,,
2013-12-19,,,,,,,,,
2013-12-20,,,,,,,,,
2013-12-21,,,,,,,,,
2013-12-22,,,,,,,,,
2013-12-23,,,,,,,,,
2013-12-24,,,,,,,,,
2013-12-25,,,,,,,,,
2013-12-26,,,,,,,,,
2013-12-27,,,,,,,,,
2013-12-28,,,,,,,,,
2013-12-29,,,,,,,,,
2013-12-30,,,,,,,,,
2013-12-31,,,,,,,,,
2014-01-01,,,,,,,,,
2014-01-02,,,,,,,,,
2014-01-03,,,,,,,,,
2014-01-04,,,,,,,,,
2014-01-05,,,,,,,,,
2014-01-06,,,,,,,,,
2014-01-07,,,,,,,,,
2014-01-08,,,,,,,,,
2014-01-09,,,,,,,,,
2014-01-10,,,,,,,,,
2014-01-11,,,,,,,,,
2014-01-12,,,,,,,,,
2014-01-13,,,,,,,,,
2014-01-14,,,,,,,,,
2014-01-15,,,,,,,,,
2014-01-16,,,,,,,,,
2014-01-17,,,,,,,,,
2014-01-18,,,,,,,,,
2014-01-19,,,,,,,,,
2014-01-20,,,,,,,,,
2014-01-21,,,,,,,,,
2014-01-22,,,,,,,,,
2014-01-23,,,,,,,,,
2014-01-24,,,,,,,,,
2014-01-25,,,,,,,,,
2014-01-26,,,,,,,,,
2014-01-27,,,,1.1017029774955181e-07,,,,,
