,hurricane ana,#hurricanebill,hurricane bill,#hurricanedanny,hurricane danny,#hurricaneerika,hurricane erika,#hurricanefred,hurricane fred,#hurricanegrace,hurricane grace,#hurricanejoaquin,hurricane joaquin,#hurricanekate,hurricane kate
2015-07-20,,,,,,,,,,,,,,,
2015-07-21,,,,,,,,,,,,,,,
2015-07-22,,,,,,,,,,,,,,,
2015-07-23,,,,,,,,,,,,,,,
2015-07-24,,,,,,,,,,,,,,,
2015-07-25,,,,,,,,,,,,,,,
2015-07-26,,,,,,,,,,,,,,,
2015-07-27,,,,,,,,,,,,,,,
2015-07-28,,,,,,,,,,,,,,,
2015-07-29,,,,,,,,,,,,,,,
2015-07-30,,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,,
2015-08-01,,,,,,,,,,,,,,,
2015-08-02,,,,,,,,,,,,,,,
2015-08-03,,,,,,,,,,,,,,,
2015-08-04,,,,,,,,,,,,,,,
2015-08-05,,,,,,,,,,,,,,,
2015-08-06,,,,,,,,,,,,,,,
2015-08-07,,,,,,,,,,,,,,,
2015-08-08,,,,,,,,,,,,,,,
2015-08-09,,,,,,,,,,,,,,,
2015-08-10,,,,,,,,,,,,,,,
2015-08-11,,,,,,,,,,,,,,,
2015-08-12,,,,,,,,,,,,,,,
2015-08-13,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,
2015-08-15,,,,,,,,,,,,,,,
2015-08-16,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,,,,,,,
2015-08-18,,,,,1.21925722291154e-07,,,,,,,,,,
2015-08-19,,,,,1.0568155088984369e-07,,,,,,,,,,
2015-08-20,,,,1.8474811991745838e-06,5.445078116837199e-06,,,,,,,,,,
2015-08-21,,,,1.5080422845130223e-06,7.6053522197633966e-06,,,,,,,,,,
2015-08-22,,,,4.994055974697795e-07,4.056638943170433e-06,,,,,,,,,,
2015-08-23,,,,6.673806272837319e-08,7.122422378688007e-07,,,,,,,,,,
2015-08-24,,,,6.34712147092509e-08,3.0652501402972286e-07,,,,,,,,,,
2015-08-25,,,,2.3662776509363564e-08,1.677065599899807e-07,2.8395331811236276e-08,,,,,,,,,
2015-08-26,,,,,8.957294706471718e-08,1.374211256112375e-07,2.381586592544245e-06,,,,,,,,
2015-08-27,,,,2.00591454937413e-08,,4.7640470547635584e-07,1.953514018957449e-06,,,,,,,,
2015-08-28,,,,2.5453918066372954e-08,,4.276258235150656e-07,1.8509240642841761e-06,,,,,,,,
2015-08-29,,,,,,1.8055114795812695e-07,6.222920529093428e-06,,,,,,,,
2015-08-30,,,,,,1.205617498688497e-07,4.780301040073416e-06,,,,,,,,
2015-08-31,,,,,,8.177577814727816e-08,1.1665047693966918e-06,1.5874121640353996e-07,4.567950092548992e-06,,,,,,
2015-09-01,,,,,,2.0047223640953103e-08,1.4525834398224944e-07,3.408028018962027e-07,6.940120879151917e-07,,,,,,
2015-09-02,,,,,,,,5.716217142397886e-08,,,,,,,
2015-09-03,,,,,,,,2.058975301628686e-08,,,,,,,
2015-09-04,,,,,,,9.236065563758446e-08,,8.658811466023542e-08,,,,,,
2015-09-05,,,,,,,,,,,,,,,
2015-09-06,,,,,,,8.320189167820919e-08,,,,,,,,
2015-09-07,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,2.044693660340918e-08,,,,,
2015-09-09,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,
2015-09-12,,,,,,,,,,,,,,,
2015-09-13,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,
2015-09-15,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,
2015-09-19,,,,,,,,,,,,,,,
2015-09-20,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,
2015-09-26,,,,,,,,,,,,,,,
2015-09-27,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,5.3180037224972984e-06,2.1843078745836085e-05,,
2015-10-01,,,,,,,,,,,,1.1850112465650523e-05,4.493955977908039e-05,,
2015-10-02,,,,,,,,,,,,9.529292144062144e-06,2.9680839349824088e-05,,
2015-10-03,,,,,,,,,,,,3.922304315869965e-06,1.820567640693192e-05,,
2015-10-04,,,,,,,,,,,,3.018847080316628e-06,1.1116598555716864e-05,,
2015-10-05,,,,,,,,,,,,1.8956089222562995e-06,7.235816869668444e-06,,
2015-10-06,,,,,,,,,,,,7.265791177221893e-07,3.0598087538703693e-06,,
2015-10-07,,,,,,,,,,,,3.8429478409516685e-07,2.100596496413432e-06,,
2015-10-08,,,,,,,,,,,,1.974934694647634e-07,6.58482537985009e-07,,
2015-10-09,,,,,,,,,,,,1.7241737986801546e-07,9.710234914742576e-07,,
2015-10-10,,,,,,,,,,,,2.0910170675368675e-07,2.308732031609458e-07,,
2015-10-11,,,,,,,,,,,,,3.9637027083951883e-07,,
2015-10-12,,,,,,,,,,,,5.660982636968568e-08,4.033880128179249e-07,,
2015-10-13,,,,,,,,,,,,6.05025523505897e-08,2.3793183120010593e-07,,
2015-10-14,,,,,,,,,,,,2.0626486309151665e-08,4.369828909029068e-07,,
2015-10-15,,,,,,,,,,,,,2.655423081949953e-07,,
2015-10-16,,,,,,,,,,,,,1.0881271361331635e-07,,
2015-10-17,,,,,,,,,,,,3.307706929029129e-08,1.0078119894246612e-07,,
2015-10-18,,,,,,,,,,,,,8.581978029220835e-08,,
2015-10-19,,,,,,,,,,,,,1.6277923381307723e-07,,
2015-10-20,,,,,,,,,,,,,9.383024469465168e-08,,
2015-10-21,,,,,,,,,,,,,,,
2015-10-22,,,,,,,,,,,,,,,
2015-10-23,,,,,,,,,,,,,,,
2015-10-24,,,,,,,,,,,,,,,
2015-10-25,,,,,,,,,,,,,,,
2015-10-26,,,,,,,,,,,,,,,
2015-10-27,,,,,,,,,,,,,,,
2015-10-28,,,,,,,,,,,,,,,
2015-10-29,,,,,,,,,,,,,,,
2015-10-30,,,,,,,,,,,,,,,
2015-10-31,,,,,,,,,,,,,3.5489200034276747e-07,,
2015-11-01,,,,,,,,,,,,,2.2679565685473233e-07,,
2015-11-02,,,,,,,,,,,,,1.558300461417961e-07,,
2015-11-03,,,,,,,,,,,,,1.2660388193772326e-07,,
2015-11-04,,,,,,,,,,,,,,,
2015-11-05,,,,,,,,,,,,,,,
2015-11-06,,,,,,,,,,,,,,,
2015-11-07,,,,,,,,,,,,,,,
2015-11-08,,,,,,,,,,,,,,,
2015-11-09,,,,,,,,,,,,,,,
2015-11-10,,,,,,,,,,,,,,,
2015-11-11,,,,,,,,,,,,,,6.393511148812937e-08,1.0020301341471535e-06
2015-11-12,,,,,,,,,,,,,,1.9602460436145824e-08,1.5771770618774824e-07
2015-11-13,,,,,,,,,,,,,,8.528454726864163e-08,2.642421561625693e-07
2015-11-14,,,,,,,,,,,,,,2.8497000241896788e-08,
2015-11-15,,,,,,,,,,,,,,,
2015-11-16,,,,,,,,,,,,,,,
2015-11-17,,,,,,,,,,,,,,,
2015-11-18,,,,,,,,,,,,,,,
2015-11-19,,,,,,,,,,,,,,,
2015-11-20,,,,,,,,,,,,,,,
2015-11-21,,,,,,,,,,,,,,,
2015-11-22,,,,,,,,,,,,,,,
2015-11-23,,,,,,,,,,,,,,,
2015-11-24,,,,,,,,,,,,,,,
2015-11-25,,,,,,,,,,,,,,,
2015-11-26,,,,,,,,,,,,,,,
2015-11-27,,,,,,,,,,,,,,,
2015-11-28,,,,,,,,,,,,,,,
2015-11-29,,,,,,,,,,,,,,,
2015-11-30,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,,,
2015-12-02,,,,,,,,,,,,,,,
2015-12-03,,,,,,,,,,,,,,,
2015-12-04,,,,,,,,,,,,,,,
2015-12-05,,,,,,,,,,,,,,,
2015-12-06,,,,,,,,,,,,,,,
2015-12-07,,,,,,,,,,,,,,,
2015-12-08,,,,,,,,,,,,,,,
2015-12-09,,,,,,,,,,,,,,,
2015-12-10,,,,,,,,,,,,,,,
2015-12-11,,,,,,,,,,,,,,,
2015-12-12,,,,,,,,,,,,1.3249395339994747e-07,,,
2015-12-13,,,,,,,,,,,,1.898684595109877e-08,,,
2015-12-14,,,,,,,,,,,,,,,
2015-12-15,,,,,,,,,,,,,,,
2015-12-16,,,,,,,,,,,,,,,
2015-12-17,,,,,,,,,,,,,,,
2015-12-18,,,,,,,,,,,,,,,
2015-12-19,,,,,,,,,,,,,,,
2015-12-20,,,,,,,,,,,,3.1664329733584564e-08,,,
2015-12-21,,,,,,,,,,,,3.5925907086684386e-08,,,
2015-12-22,,,,,,,,,,,,,,,
2015-12-23,,,,,,,,,,,,,,,
2015-12-24,,,,,,,,,,,,,,,
2015-12-25,,,,,,,,,,,,,,,
2015-12-26,,,,,,,,,,,,,,,
2015-12-27,,,,,,,,,,,,,,,
2015-12-28,,,,,,,,,,,,,,,
2015-12-29,,,,,,,,,,,,,,,
2015-12-30,,,,,,,,,,,,,,,
2015-12-31,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,
2016-01-02,,,,,,,,,,,,,,,
2016-01-03,,,,,,,,,,,,,6.167799177392289e-07,,
2016-01-04,,,,,,,,,,,,,,,
2016-01-05,,,,,,,,,,,,,,,
2016-01-06,,,,,,,,,,,,,,,
2016-01-07,,,,,,,,,,,,,,,
2016-01-08,,,,,,,,,,,,,,,
2016-01-09,,,,,,,,,,,,,,,
2016-01-10,,,,,,,,,,,,,,,
2016-01-11,,,,,,,,,,,,,,,
2016-01-12,,,,,,,,,,,,,,,
2016-01-13,,,,,,,,,,,,,,,
2016-01-14,,,,,,,,,,,,,,,
2016-01-15,,,,,,,,,,,,,,,
2016-01-16,,,,,,,,,,,,,,,
2016-01-17,,,,,,,,,,,,,,,
2016-01-18,,,,,,,,,,,,,,,
2016-01-19,,,,,,,,,,,,,,,
2016-01-20,,,,,,,,,,,,,,,
2016-01-21,,,,,,,,,,,,,,,
2016-01-22,,,,,,,,,,,,,,,
2016-01-23,,,,,,,,,,,,,,,
2016-01-24,,,,,,,,,,,,,,,
2016-01-25,,,,,,,,,,,,,,,
2016-01-26,,,,,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,
2016-01-30,,,,,,,,,,,,,,,
2016-01-31,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,,,,,
2016-02-02,,,,,,,,,,,,,,,
2016-02-03,,,,,,,,,,,,,,,
2016-02-04,,,,,,,,,,,,,,,
2016-02-05,,,,,,,,,,,,,,,
2016-02-06,,,,,,,,,,,,,,,
2016-02-07,,,,,,,,,,,,,,,
2016-02-08,,,,,,,,,,,,,,,
2016-02-09,,,,,,,,,,,,,,,
2016-02-10,,,,,,,,,,,,,,,
2016-02-11,,,,,,,,,,,,,,,
2016-02-12,,,,,,,,,,,,,,,
2016-02-13,,,,,,,,,,,,,,,
2016-02-14,,,,,,,,,,,,,,,
2016-02-15,,,,,,,,,,,,,,,
2016-02-16,,,,,,,,,,,,,,,
2016-02-17,,,,,,,,,,,,,,,
2016-02-18,,,,,,,,,,,,,,,
2016-02-19,,,,,,,,,,,,,,,
2016-02-20,,,,,,,,,,,,,,,
2016-02-21,,,,,,,,,,,,,,,
2016-02-22,,,,,,,,,,,,,,,
2016-02-23,,,,,,,,,,,,,,,
2016-02-24,,,,,,,,,,,,,,,
2016-02-25,,,,,,,,,,,,,,,
2016-02-26,,,,,,,,,,,,,,,
2016-02-27,,,,,,,,,,,,,,,
2016-02-28,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,,,,
2016-03-02,,,,,,,,,,,,,,,
2016-03-03,,,,,,,,,,,,,,,
2016-03-04,,,,,,,,,,,,,,,
2016-03-05,,,,,,,,,,,,,,,
2016-03-06,,,,,,,,,,,,,,,
2016-03-07,,,,,,,,,,,,,,,
2016-03-08,,,,,,,,,,,,,,,
2016-03-09,,,,,,,,,,,,,,,
2016-03-10,,,,,,,,,,,,,,,
2016-03-11,,,,,,,,,,,,,,,
2016-03-12,,,,,,,,,,,,,,,
2016-03-13,,,,,,,,,,,,,,,
2016-03-14,,,,,,,,,,,,,,,
2016-03-15,,,,,,,,,,,,,,,
2016-03-16,,,,,,,,,,,,,,,
2016-03-17,,,,,,,,,,,,,,,
2016-03-18,,,,,,,,,,,,,,,
2016-03-19,,,,,,,,,,,,,,,
2016-03-20,,,,,,,,,,,,,,,
2016-03-21,,,,,,,,,,,,,,,
2016-03-22,,,,,,,,,,,,,,,
2016-03-23,,,,,,,,,,,,,,,
2016-03-24,,,,,,,,,,,,,,,
2016-03-25,,,,,,,,,,,,,,,
2016-03-26,,,,,,,,,,,,,,,
2016-03-27,,,,,,,,,,,,,,,
2016-03-28,,,,,,,,,,,,,,,
2016-03-29,,,,,,,,,,,,,,,
2016-03-30,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,,,,,
2016-04-02,,,,,,,,,,,,,,,
2016-04-03,,,,,,,,,,,,,,,
2016-04-04,,,,,,,,,,,,,,,
2016-04-05,,,,,,,,,,,,,,,
2016-04-06,,,,,,,,,,,,,,,
2016-04-07,,,,,,,,,,,,,,,
2016-04-08,,,,,,,,,,,,,,,
2016-04-09,,,,,,,,,,,,,,,
2016-04-10,,,,,,,,,,,,,,,
2016-04-11,,,,,,,,,,,,,,,
2016-04-12,,,,,,,,,,,,,,,
2016-04-13,,,,,,,,,,,,,,,
2016-04-14,,,,,,,,,,,,,,,
2016-04-15,,,,,,,,,,,,,,,
2016-04-16,,,,,,,,,,,,,,,
2016-04-17,,,,,,,,,,,,,,,
2016-04-18,,,,,,,,,,,,,,,
2016-04-19,,,,,,,,,,,,,,,
2016-04-20,,,,,,,,,,,,,,,
2016-04-21,,,,,,,,,,,,,,,
2016-04-22,,,,,,,,,,,,,,,
2016-04-23,,,,,,,,,,,,,,,
2016-04-24,,,,,,,,,,,,,,,
2016-04-25,,,,,,,,,,,,,,,
2016-04-26,,,,,,,,,,,,,9.165503447463944e-08,,
2016-04-27,,,,,,,,,,,,,,,
2016-04-28,,,,,,,,,,,,,,,
2016-04-29,,,,,,,,,,,,,,,
2016-04-30,,,,,,,,,,,,,,,
2016-05-01,,,,,,,,,,,,,,,
2016-05-02,,,,,,,,,,,,,,,
2016-05-03,,,,,,,,,,,,,,,
2016-05-04,,,,,,,,,,,,,,,
2016-05-05,,,,,,,,,,,,,,,
2016-05-06,,,,,,,,,,,,,,,
2016-05-07,,,,,,,,,,,,,,,
2016-05-08,,,,,,,,,,,,,,,
2016-05-09,,,,,,,,,,,,,,,
2016-05-10,,,,,,,,,,,,,,,
2016-05-11,,,,,,,,,,,,,,,
2016-05-12,,,,,,,,,,,,,,,
2016-05-13,,,,,,,,,,,,,,,
2016-05-14,,,,,,,,,,,,,,,
2016-05-15,,,,,,,,,,,,,,,
2016-05-16,,,,,,,,,,,,,,,
2016-05-17,,,,,,,,,,,,,,,
2016-05-18,,,,,,,,,,,,,,,
2016-05-19,,,,,,,,,,,,,,,
2016-05-20,,,,,,,,,,,,,,,
2016-05-21,,,,,,,,,,,,,,,
2016-05-22,,,,,,,,,,,,,,,
2016-05-23,,,,,,,,,,,2.0490938519320352e-07,,,,
2016-05-24,,,,,,,,,,,,,,,
2016-05-25,,,,,,,,,,,,,,,
2016-05-26,,,,,,,,,,,,,,,
2016-05-27,,,,,,,,,,,,,,,
2016-05-28,,,,,,,,,,,,,,,
2016-05-29,,,,,,,,,,,,,,,
2016-05-30,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,,,
2016-06-02,,,,,,,,,,,,,,,
2016-06-03,,,,,,,,,,,,,,,
2016-06-04,,,,,,,,,,,,,,,
2016-06-05,,,,,,,,,,,,,,,
2016-06-06,,,,,,,,,,,,,,,
2016-06-07,,,,,,,,,,,,,,,
2016-06-08,,,,,,,,,,,,,,,
2016-06-09,,,,,,,,,,,,,,,
2016-06-10,,,,,,,,,,,,,,,
2016-06-11,,,,,,,,,,,,,,,
2016-06-12,,,,,,,,,,,,,,,
2016-06-13,,,,,,,,,,,,,,,
2016-06-14,,,,,,,,,,,,,,,
2016-06-15,,,,,,,,,,,,,,,
2016-06-16,,,,,,,,,,,,,,,
2016-06-17,,,,,,,,,,,,,,,
2016-06-18,,,,,,,,,,,,,,,
2016-06-19,,,,,,,,,,,,,,,
2016-06-20,,,,,,,,,,,,,,,
2016-06-21,,,,,,,,,,,,,,,
2016-06-22,,,,,,,,,,,,,,,
2016-06-23,,,,,,,,,,,,,,,
2016-06-24,,,,,,,,,,,,,,,
2016-06-25,,,,,,,,,,,,,,,
2016-06-26,,,,,,,,,,,,,,,
2016-06-27,,,,,,,,,,,,,,,
2016-06-28,,,,,,,,,,,,,,,
2016-06-29,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,,,,
2016-07-02,,,,,,,,,,,,,,,
2016-07-03,,,,,,,,,,,,,,,
2016-07-04,,,,,,,,,,,,,,,
2016-07-05,,,,,,,,,,,,,,,
2016-07-06,,,,,,,,,,,,,,,
2016-07-07,,,,,,,,,,,,,,,
2016-07-08,,,,,,,,,,,,,,,
2016-07-09,,,,,,,,,,,,,,,
2016-07-10,,,,,,,,,,,,,,,
2016-07-11,,,,,,,,,,,,,,,
2016-07-12,,,,,,,,,,,,,,,
2016-07-13,,,,,,,,,,,,,,,
2016-07-14,,,,,,,,,,,,,,,
2016-07-15,,,,,,,,,,,,,,,
2016-07-16,,,,,,,,,,,,,,,
2016-07-17,,,,,,,,,,,,,,,
2016-07-18,,,,,,,,,,,,,,,
2016-07-19,,,,,,,,,,,,,,,
2016-07-20,,,,,,,,,,,,,,,
2016-07-21,,,,,,,,,,,,,,,
2016-07-22,,,,,,,,,,,,,,,
2016-07-23,,,,,,,,,,,,,,,
2016-07-24,,,,,,,,,,,,,,,
2016-07-25,,,,,,,,,,,,,,,
2016-07-26,,,,,,,,,,,,,,,
2016-07-27,,,,,,,,,,,,,,,
2016-07-28,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,,,,,,,,
2016-07-30,,,,,,,,,,,,,,,
2016-07-31,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,,
2016-08-02,,,,,,,,,,,,,,,
2016-08-03,,,,,,,,,,,,,,,
2016-08-04,,,,,,,,,,,,,,,
2016-08-05,,,,,,,,,,,,,,,
2016-08-06,,,,,,,,,,,,,,,
2016-08-07,,,,,,,,,,,,,,,
2016-08-08,,,,,,,,,,,,,,,
2016-08-09,,,,,,,,,,,,,9.059417924404753e-08,,
