,#hurricanearthur,hurricane arthur,#hurricanebertha,hurricane bertha,#hurricanecristobal,hurricane cristobal,#hurricaneedouard,hurricane edouard,hurricane fay,#hurricanegonzalo,hurricane gonzalo
2014-10-23,,,,0.0,,,0.0,,,1.8415282106008492e-07,4.093466132163824e-07
2014-10-24,,,,0.0,,,0.0,,,1.0543141230399151e-07,2.703400022538038e-07
2014-10-25,,,,0.0,,,0.0,,,6.0437015830882e-08,1.3152201794758226e-07
2014-10-26,,,,0.0,,,0.0,,,4.43682182679235e-08,9.660227857533316e-08
2014-10-27,,,,0.0,,,0.0,,,0.0,1.1218199839030051e-07
2014-10-28,,,,0.0,,,0.0,,,3.4574564521474845e-08,7.500879829763782e-08
2014-10-29,,,,0.0,,,0.0,,,0.0,7.413086930231066e-08
2014-10-30,,,,0.0,,,,,,1.8044611874383157e-08,1.0758350766344221e-07
2014-10-31,,,,0.0,,,,,,,0.0
2014-11-01,,,,0.0,,,,,,,0.0
2014-11-02,,,,0.0,,,,,,,0.0
2014-11-03,,,,0.0,,,,,,,0.0
2014-11-04,,,,0.0,,,,,,,0.0
2014-11-05,,,,0.0,,,,,,,0.0
2014-11-06,,,,0.0,,,,,,,0.0
2014-11-07,,,,0.0,,,,,,,0.0
2014-11-08,,,,0.0,,,,,,,0.0
2014-11-09,,,,0.0,,,,,,,0.0
2014-11-10,,,,0.0,,,,,,,0.0
2014-11-11,,,,0.0,,,,,,,0.0
2014-11-12,,,,0.0,,,,,,,0.0
2014-11-13,,,,0.0,,,,,,,1.3824300604439895e-07
2014-11-14,,,,0.0,,,,,,,
2014-11-15,,,,0.0,,,,,,,
2014-11-16,,,,0.0,,,,,,,
2014-11-17,,,,0.0,,,,,,,
2014-11-18,,,,0.0,,,,,,,
2014-11-19,,,,0.0,,,,,,,
2014-11-20,,,,0.0,,,,,,,
2014-11-21,,,,0.0,,,,,,,
2014-11-22,,,,0.0,,,,,,,
2014-11-23,,,,0.0,,,,,,,
2014-11-24,,,,0.0,,,,,,,
2014-11-25,,,,0.0,,,,,,,
2014-11-26,,,,0.0,,,,,,,
2014-11-27,,,,0.0,,,,,,,
2014-11-28,,,,0.0,,,,,,,
2014-11-29,,,,0.0,,,,,,,
2014-11-30,,,,0.0,,,,,,,
2014-12-01,,,,0.0,,,,,,,
2014-12-02,,,,0.0,,,,,,,
2014-12-03,,,,0.0,,,,,,,
2014-12-04,,,,0.0,,,,,,,
2014-12-05,,,,0.0,,,,,,,
2014-12-06,,,,0.0,,,,,,,
2014-12-07,,,,0.0,,,,,,,
2014-12-08,,,,0.0,,,,,,,
2014-12-09,,,,0.0,,,,,,,
2014-12-10,,,,0.0,,,,,,,
2014-12-11,,,,0.0,,,,,,,
2014-12-12,,,,0.0,,,,,,,
2014-12-13,,,,0.0,,,,,,,
2014-12-14,,,,0.0,,,,,,,
2014-12-15,,,,0.0,,,,,,,
2014-12-16,,,,0.0,,,,,,,
2014-12-17,,,,0.0,,,,,,,
2014-12-18,,,,0.0,,,,,,,
2014-12-19,,,,0.0,,,,,,,
2014-12-20,,,,0.0,,,,,,,
2014-12-21,,,,0.0,,,,,,,
2014-12-22,,,,0.0,,,,,,,
2014-12-23,,,,0.0,,,,,,,
2014-12-24,,,,0.0,,,,,,,
2014-12-25,,,,0.0,,,,,,,
2014-12-26,,,,0.0,,,,,,,
2014-12-27,,,,0.0,,,,,,,
2014-12-28,,,,0.0,,,,,,,
2014-12-29,,,,0.0,,,,,,,
2014-12-30,,,,0.0,,,,,,,
2014-12-31,,,,0.0,,,,,,,
2015-01-01,,,,0.0,,,,,,,
2015-01-02,,,,0.0,,,,,,,
2015-01-03,,,,0.0,,,,,,,
2015-01-04,,,,0.0,,,,,,,
2015-01-05,,,,0.0,,,,,,,
2015-01-06,,,,0.0,,,,,,,
2015-01-07,,,,0.0,,,,,,,
2015-01-08,,,,0.0,,,,,,,
2015-01-09,,,,0.0,,,,,,,
2015-01-10,,,,0.0,,,,,,,
2015-01-11,,,,0.0,,,,,,,
2015-01-12,,,,0.0,,,,,,,
2015-01-13,,,,0.0,,,,,,,
2015-01-14,,,,0.0,,,,,,,
2015-01-15,,,,0.0,,,,,,,
2015-01-16,,,,0.0,,,,,,,
2015-01-17,,,,0.0,,,,,,,
2015-01-18,,,,0.0,,,,,,,
2015-01-19,,,,0.0,,,,,,,
2015-01-20,,,,0.0,,,,,,,
2015-01-21,,,,0.0,,,,,,,
2015-01-22,,,,0.0,,,,,,,
2015-01-23,,,,0.0,,,,,,,
2015-01-24,,,,0.0,,,,,,,
2015-01-25,,,,0.0,,,,,,,
2015-01-26,,,,0.0,,,,,,,
2015-01-27,,,,0.0,,,,,,,
2015-01-28,,,,0.0,,,,,,,
2015-01-29,,,,0.0,,,,,,,
2015-01-30,,,,0.0,,,,,,,
2015-01-31,,,,0.0,,,,,,,
2015-02-01,,,,0.0,,,,,,,
2015-02-02,,,,0.0,,,,,,,
2015-02-03,,,,0.0,,,,,,,
2015-02-04,,,,0.0,,,,,,,
