,#hurricanearthur,hurricane arthur,#hurricanebertha,hurricane bertha,#hurricanecristobal,hurricane cristobal,#hurricaneedouard,hurricane edouard,hurricane fay,#hurricanegonzalo,hurricane gonzalo
2014-08-25,,,,0.0,7.0,63.0,,,,,
2014-08-26,,,,0.0,10.0,403.0,,,,,
2014-08-27,,,,0.0,20.0,386.0,,,,,
2014-08-28,,,,0.0,40.0,271.0,,,,,
2014-08-29,,,,0.0,15.0,289.0,,,,,
2014-08-30,,,,0.0,11.0,36.0,,,,,
2014-08-31,,,,0.0,15.0,25.0,,,,,
2014-09-01,,,,0.0,12.0,25.0,,,,,
2014-09-02,,,,0.0,5.0,29.0,,,,,
2014-09-03,,,,0.0,21.0,20.0,,,,,
2014-09-04,,,,0.0,0.0,,,,,,
2014-09-05,,,,0.0,4.0,,,,,,
2014-09-06,,,,0.0,,,,,,,
2014-09-07,,,,0.0,,,,,,,
2014-09-08,,,,0.0,,,,,,,
2014-09-09,,,,0.0,,,,,,,
2014-09-10,,,,0.0,,,,,,,
2014-09-11,,,,0.0,,,,,,,
2014-09-12,,,,0.0,,,,,,,
2014-09-13,,,,0.0,,,,,,,
2014-09-14,,,,0.0,,,,91.0,,,
2014-09-15,,,,0.0,,,7.0,119.0,,,
2014-09-16,,,,0.0,,,5.0,209.0,,,
2014-09-17,,,,0.0,,,6.0,162.0,,,
2014-09-18,,,,0.0,,,0.0,95.0,,,
2014-09-19,,,,0.0,,,0.0,19.0,,,
2014-09-20,,,,0.0,,,0.0,,,,
2014-09-21,,,,0.0,,,0.0,,,,
2014-09-22,,,,0.0,,,0.0,,,,
2014-09-23,,,,0.0,,,0.0,,,,
2014-09-24,,,,0.0,,,0.0,,,,
2014-09-25,,,,0.0,,,0.0,,,,
2014-09-26,,,,0.0,,,0.0,,,,
2014-09-27,,,,0.0,,,0.0,,,,
2014-09-28,,,,0.0,,,0.0,,,,
2014-09-29,,,,0.0,,,0.0,,,,
2014-09-30,,,,0.0,,,0.0,,,,
2014-10-01,,,,0.0,,,0.0,,,,
2014-10-02,,,,0.0,,,0.0,,,,
2014-10-03,,,,0.0,,,0.0,,,,
2014-10-04,,,,0.0,,,0.0,,,,
2014-10-05,,,,0.0,,,0.0,,,,
2014-10-06,,,,0.0,,,0.0,,,,
2014-10-07,,,,0.0,,,0.0,,,,
2014-10-08,,,,0.0,,,0.0,,,,
2014-10-09,,,,0.0,,,0.0,,,,
2014-10-10,,,,0.0,,,0.0,,,,
2014-10-11,,,,0.0,,,0.0,,,,
2014-10-12,,,,0.0,,,0.0,,25.0,,
2014-10-13,,,,0.0,,,0.0,,,13.0,228.0
2014-10-14,,,,0.0,,,0.0,,,46.0,669.0
2014-10-15,,,,0.0,,,0.0,,,33.0,718.0
2014-10-16,,,,0.0,,,0.0,,,100.0,1334.0
2014-10-17,,,,0.0,,,0.0,,,345.0,2454.0
2014-10-18,,,,0.0,,,0.0,,,112.0,1901.0
2014-10-19,,,,0.0,,,0.0,,,76.0,964.0
2014-10-20,,,,0.0,,,0.0,,,203.0,959.0
2014-10-21,,,,0.0,,,0.0,,,1300.0,1505.0
2014-10-22,,,,0.0,,,0.0,,,260.0,419.0
2014-10-23,,,,0.0,,,0.0,,,225.0,358.0
2014-10-24,,,,0.0,,,0.0,,,128.0,163.0
2014-10-25,,,,0.0,,,0.0,,,55.0,77.0
2014-10-26,,,,0.0,,,0.0,,,51.0,85.0
2014-10-27,,,,0.0,,,0.0,,,31.0,55.0
2014-10-28,,,,0.0,,,0.0,,,6.0,19.0
2014-10-29,,,,0.0,,,6.0,,,0.0,22.0
2014-10-30,,,,0.0,,,,,,7.0,22.0
2014-10-31,,,,0.0,,,,,,,0.0
2014-11-01,,,,0.0,,,,,,,0.0
2014-11-02,,,,0.0,,,,,,,0.0
2014-11-03,,,,0.0,,,,,,,0.0
2014-11-04,,,,0.0,,,,,,,0.0
2014-11-05,,,,0.0,,,,,,,0.0
2014-11-06,,,,0.0,,,,,,,0.0
2014-11-07,,,,0.0,,,,,,,0.0
2014-11-08,,,,0.0,,,,,,,0.0
2014-11-09,,,,0.0,,,,,,,0.0
2014-11-10,,,,0.0,,,,,,,0.0
2014-11-11,,,,0.0,,,,,,,0.0
2014-11-12,,,,0.0,,,,,,,0.0
2014-11-13,,,,0.0,,,,,,,26.0
2014-11-14,,,,0.0,,,,,,,
2014-11-15,,,,0.0,,,,,,,
2014-11-16,,,,0.0,,,,,,,
2014-11-17,,,,0.0,,,,,,,
2014-11-18,,,,0.0,,,,,,,
2014-11-19,,,,0.0,,,,,,,
2014-11-20,,,,0.0,,,,,,,
2014-11-21,,,,0.0,,,,,,,
2014-11-22,,,,0.0,,,,,,,
2014-11-23,,,,0.0,,,,,,,
2014-11-24,,,,0.0,,,,,,,
2014-11-25,,,,0.0,,,,,,,
2014-11-26,,,,0.0,,,,,,,
2014-11-27,,,,0.0,,,,,,,
2014-11-28,,,,0.0,,,,,,,
2014-11-29,,,,0.0,,,,,,,
2014-11-30,,,,0.0,,,,,,,
2014-12-01,,,,0.0,,,,,,,
2014-12-02,,,,0.0,,,,,,,
2014-12-03,,,,0.0,,,,,,,
2014-12-04,,,,0.0,,,,,,,
2014-12-05,,,,0.0,,,,,,,
2014-12-06,,,,0.0,,,,,,,
2014-12-07,,,,0.0,,,,,,,
2014-12-08,,,,0.0,,,,,,,
2014-12-09,,,,0.0,,,,,,,
2014-12-10,,,,0.0,,,,,,,
2014-12-11,,,,0.0,,,,,,,
2014-12-12,,,,0.0,,,,,,,
2014-12-13,,,,0.0,,,,,,,
2014-12-14,,,,0.0,,,,,,,
2014-12-15,,,,0.0,,,,,,,
2014-12-16,,,,0.0,,,,,,,
2014-12-17,,,,0.0,,,,,,,
2014-12-18,,,,0.0,,,,,,,
2014-12-19,,,,0.0,,,,,,,
2014-12-20,,,,0.0,,,,,,,
2014-12-21,,,,0.0,,,,,,,
2014-12-22,,,,0.0,,,,,,,
2014-12-23,,,,0.0,,,,,,,
2014-12-24,,,,0.0,,,,,,,
2014-12-25,,,,0.0,,,,,,,
2014-12-26,,,,0.0,,,,,,,
2014-12-27,,,,0.0,,,,,,,
2014-12-28,,,,0.0,,,,,,,
2014-12-29,,,,0.0,,,,,,,
2014-12-30,,,,0.0,,,,,,,
2014-12-31,,,,0.0,,,,,,,
2015-01-01,,,,0.0,,,,,,,
2015-01-02,,,,0.0,,,,,,,
2015-01-03,,,,0.0,,,,,,,
2015-01-04,,,,0.0,,,,,,,
2015-01-05,,,,0.0,,,,,,,
2015-01-06,,,,0.0,,,,,,,
2015-01-07,,,,0.0,,,,,,,
2015-01-08,,,,0.0,,,,,,,
2015-01-09,,,,0.0,,,,,,,
2015-01-10,,,,0.0,,,,,,,
2015-01-11,,,,0.0,,,,,,,
2015-01-12,,,,0.0,,,,,,,
2015-01-13,,,,0.0,,,,,,,
2015-01-14,,,,0.0,,,,,,,
2015-01-15,,,,0.0,,,,,,,
2015-01-16,,,,0.0,,,,,,,
2015-01-17,,,,0.0,,,,,,,
2015-01-18,,,,0.0,,,,,,,
2015-01-19,,,,0.0,,,,,,,
2015-01-20,,,,0.0,,,,,,,
2015-01-21,,,,0.0,,,,,,,
2015-01-22,,,,0.0,,,,,,,
2015-01-23,,,,0.0,,,,,,,
2015-01-24,,,,0.0,,,,,,,
2015-01-25,,,,0.0,,,,,,,
2015-01-26,,,,0.0,,,,,,,
2015-01-27,,,,0.0,,,,,,,
2015-01-28,,,,0.0,,,,,,,
2015-01-29,,,,0.0,,,,,,,
2015-01-30,,,,0.0,,,,,,,
2015-01-31,,,,0.0,,,,,,,
2015-02-01,,,,0.0,,,,,,,
2015-02-02,,,,0.0,,,,,,,
2015-02-03,,,,0.0,,,,,,,
2015-02-04,,,,19.0,,,,,,,
