,#hurricanebarry,hurricane barry,#hurricanedorian,hurricane dorian,hurricane erin,#hurricanehumberto,hurricane humberto,#hurricanejerry,hurricane jerry,#hurricaneimelda,#hurricanekaren,hurricane karen,#hurricanelorenzo,hurricane lorenzo,#hurricanepablo,hurricane pablo
2019-08-18,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,,
2019-08-21,,,,,,,,,,,,,,,,
2019-08-22,,,,,,,,,,,,,,,,
2019-08-23,,,,,,,,,,,,,,,,
2019-08-24,,,,,,,,,,,,,,,,
2019-08-25,,,,,,,,,,,,,,,,
2019-08-26,,,3.946907837681173e-08,1.0350876967079107e-07,,,,,,,,,,,,
2019-08-27,,,4.600090262444519e-06,4.991698845403012e-07,,,,,,,,,,,,
2019-08-28,,,1.338070433423843e-05,1.3560363801237429e-05,,,,,,,,,,,,
2019-08-29,,,2.4716860590529925e-05,5.228275549979717e-05,,,,,,,,,,,,
2019-08-30,,,4.5786379398613144e-05,7.629106081546739e-05,,,,,,,,,,,,
2019-08-31,,,3.682610499195452e-05,8.645953250623716e-05,,,,,,,,,,,,
2019-09-01,,,7.681829724150915e-05,0.00011339515211619427,,,,,,,,,,,,
2019-09-02,,,0.0001234985018550939,0.00011755871163962085,,,,,,,,,,,,
2019-09-03,,,8.434185142691608e-05,0.00011143709838473227,,,,,,,,,,,,
2019-09-04,,,4.166783732849005e-05,8.17008472988976e-05,,,,,,,,,,,,
2019-09-05,,,3.538815980488991e-05,7.837196210447057e-05,,,,,,,,,,,,
2019-09-06,,,2.1223840056004613e-05,9.400878654954317e-05,,,,,,,,,,,,
2019-09-07,,,1.3226014519340937e-05,0.00011238482624889289,,,,,,,,,,,,
2019-09-08,,,9.715727802523151e-06,4.774970950340907e-05,,,,,,,,,,,,
2019-09-09,,,8.159489829203492e-06,6.416278141227756e-05,,,,,,,,,,,,
2019-09-10,,,5.760991567986775e-06,3.523282122550215e-05,,,,,,,,,,,,
2019-09-11,,,2.9642501853668997e-06,3.15771382074445e-05,1.0792967160747632e-07,,,,,,,,,,,
2019-09-12,,,2.7671298959139747e-06,1.868288279183709e-05,,,,,,,,,,,,
2019-09-13,,,2.104471090046715e-06,8.695601226835948e-06,,,,,,,,,,,,
2019-09-14,,,2.345849796398452e-06,4.598823713290599e-06,,2.001578324572058e-08,,,,,,,,,,
2019-09-15,,,2.1767220212697317e-06,3.79904932991584e-06,,2.6825799557901626e-08,1.5276600480084858e-07,,,,,,,,,
2019-09-16,,,1.2125191935983732e-06,4.213012995442122e-06,,3.6854686735512864e-07,6.757811862533194e-07,,,,,,,,,
2019-09-17,,,1.0491506662168117e-06,2.4436667105968047e-06,,2.455459006039347e-07,7.794790145444353e-07,,,,,,,,,
2019-09-18,,,8.252907939994103e-07,1.897059564686455e-06,,8.290083200985067e-07,1.1919922521438506e-06,1.8587630495482215e-08,,,,,,,,
2019-09-19,,,5.405235517879162e-07,1.4593937745133164e-06,,4.466826573802919e-07,6.411891785597589e-07,7.882635130240444e-08,3.658318626138502e-07,7.13190797497945e-08,,,,,,
2019-09-20,,,4.872090607596386e-07,2.2228209234286265e-06,,8.05621281571056e-08,1.889196806530659e-07,1.611242563142112e-07,3.6578065828572337e-07,6.905325270609052e-08,,,,,,
2019-09-21,,,3.418733895953432e-07,9.62106088712435e-07,,,,2.4132239265553637e-08,,,,,,,,
2019-09-22,,,3.740580919697991e-07,8.12627811241813e-07,,1.5113458261406026e-08,7.928076207237201e-08,,,,3.022691652281205e-08,2.0612998138816724e-07,,,,
2019-09-23,,,5.674447440265379e-07,9.287823634261539e-07,,,,,,,,,,,,
2019-09-24,,,4.5853631896085746e-07,8.641855176186069e-07,,,,,,,2.697272464475632e-08,1.6578252786969195e-07,,,,
2019-09-25,,,3.623978779714357e-07,7.722463530905089e-07,,,,,,,,,3.048206450227029e-08,1.275269206938455e-07,,
2019-09-26,,,2.0177735618394177e-07,6.727356511488345e-07,,,,,,,,,1.4021816277189173e-07,3.721516368057382e-07,,
2019-09-27,,,3.1418088588170577e-07,8.326949904258124e-07,,,,,,,,,1.673354718282998e-07,5.610863240208264e-07,,
2019-09-28,,,2.6257406201095935e-07,7.737336073716967e-07,,,,,,,,,2.5496321963383013e-07,9.013597694123889e-07,,
2019-09-29,,,1.9674932254196708e-07,4.7101313356283144e-07,,,,,,,,,1.0320058805031481e-06,2.7910447666491745e-06,,
2019-09-30,,,2.227095161425425e-07,6.255381872389699e-07,,,,,,,,,4.5955931902429405e-07,2.750147178216299e-06,,
2019-10-01,,,2.603274777810875e-07,7.704566493399791e-07,,,,,,,,,4.79153473597074e-07,1.3868219688119623e-06,,
2019-10-02,,,5.162341017935509e-07,5.73160686417238e-07,,,,,,,,,8.095489323580686e-07,1.248671495408983e-06,,
2019-10-03,,,1.9492749282049556e-07,5.644561211867597e-07,,,,,,,,,5.083403244142335e-07,8.727052086433589e-07,,
2019-10-04,,,2.5130603456193336e-07,3.546971014703539e-06,,,,,,,,,1.8171359422170565e-07,1.9840362981789203e-07,,
2019-10-05,,,1.3110459968604e-07,1.7567581721628598e-06,,,,,,,,,2.5375083810201292e-08,,,
2019-10-06,,,1.1429181285180695e-07,1.327202863404207e-06,,,,,,,,,1.9705484974449475e-08,,,
2019-10-07,,,2.246117152926912e-07,4.204618292611573e-06,,,,,,,,,1.4728637068373194e-08,,,
2019-10-08,,,2.523701931220965e-07,2.3616255242497924e-06,,,,,,,,,,,,
2019-10-09,,,1.9776662806152217e-07,1.0004682229615576e-06,,,,,,,,,,,,
2019-10-10,,,1.4319648075041653e-07,6.45643053102112e-07,,,,,,,,,,,,
2019-10-11,,,7.96391802073246e-08,2.4591766153868354e-06,,,,,,,,,,,,
2019-10-12,,,4.470954585791054e-08,6.563333235664684e-07,,,,,,,,,,,,
2019-10-13,,,5.869150069440654e-08,5.497324327124323e-07,,,,,,,,,,,,
2019-10-14,,,8.727856700230124e-08,5.020112873054524e-07,,,,,,,,,,,,
2019-10-15,,,8.587330355095333e-08,5.547059526402058e-07,,,,,,,,,,,,
2019-10-16,,,1.1833212876156759e-07,3.9475995633954885e-07,,,,,,,,,,,,
2019-10-17,,,1.8201905805064652e-07,2.400284431419138e-07,,,,,,,,,,,,
2019-10-18,,,3.7440287234695127e-08,1.841875353593531e-07,,,,,,,,,,,,
2019-10-19,,,4.843240743956488e-08,2.3261437713421312e-07,,,,,,,,,,,,
2019-10-20,,,2.0102657809046722e-07,2.397426182772481e-07,,,,,,,,,,,,
2019-10-21,,,1.9165032285490048e-07,2.1680521804871642e-07,,,,,,,,,,,,
2019-10-22,,,8.751105509656824e-08,1.829840343315424e-07,,,,,,,,,,,,
2019-10-23,,,1.022865161925181e-07,2.6565543231222355e-07,,,,,,,,,,,,
2019-10-24,,,9.248823661815023e-08,3.8849979660893e-07,,,,,,,,,,,,
2019-10-25,,,5.076608837625374e-08,3.3384330378348154e-07,,,,,,,,,,,,
2019-10-26,,,4.228193707883491e-08,2.0863999420645057e-07,,,,,,,,,,,,
2019-10-27,,,7.739384154869146e-08,2.822097581942129e-07,,,,,,,,,,,2.211252615676899e-08,1.472398738404589e-07
2019-10-28,,,5.273927309818516e-08,2.3554143355440748e-07,,,,,,,,,,,2.4611660779153073e-08,9.200837248219043e-08
2019-10-29,,,4.2289242524619246e-08,3.0313261777164564e-07,,,,,,,,,,,,
2019-10-30,,,3.3279125298925166e-08,2.1257369354960948e-07,,,,,,,,,,,,
2019-10-31,,,2.665572999835321e-08,1.3604301816975203e-07,,,,,,,,,,,,
2019-11-01,,,3.817968481462319e-08,1.16304549423273e-07,,,,,,,,,,,,
2019-11-02,,,3.279967281670372e-08,1.2982572282790865e-07,,,,,,,,,,,,
2019-11-03,,,,1.7161411664715209e-07,,,,,,,,,,,,
2019-11-04,,,,1.7676799414657536e-07,,,,,,,,,,,,
2019-11-05,,,3.2925601777766505e-08,2.0664873286303387e-07,,,,,,,,,,,,
2019-11-06,,,2.3727226408953463e-08,2.7657926859881846e-07,,,,,,,,,,,,
2019-11-07,,,2.6768389312119617e-08,8.891037455150973e-07,,,,,,,,,,,,
2019-11-08,,,3.16064943690133e-08,6.835556158195173e-07,,,,,,,,,,,,
2019-11-09,,,2.5424715514141067e-08,8.446140512314349e-07,,,,,,,,,,,,
2019-11-10,,,,3.567988075855931e-07,,,,,,,,,,,,
2019-11-11,,,2.9440371607099804e-08,2.052963115742704e-07,,,,,,,,,,,,
2019-11-12,,,5.550707321083218e-08,2.526122134004348e-07,,,,,,,,,,,,
2019-11-13,,,3.788237809507553e-08,1.7684352370658535e-06,,,,,,,,,,,,
2019-11-14,,,9.891570139726278e-08,2.0175850242927408e-06,,,,,,,,,,,,
2019-11-15,,,5.731257532563915e-08,5.95406684902277e-07,,,,,,,,,,,,
2019-11-16,,,4.684986921210319e-08,2.1875483818284082e-07,,,,,,,,,,,,
2019-11-17,,,2.0442200711522823e-08,1.319140103620737e-07,,,,,,,,,,,,
2019-11-18,,,1.7074505924754523e-08,2.5357725541450475e-07,,,,,,,,,,,,
2019-11-19,,,1.946094372985859e-08,2.713264129157613e-07,,,,,,,,,,,,
2019-11-20,,,1.5873407971388653e-08,2.690752886875553e-07,,,,,,,,,,,,
2019-11-21,,,,2.211157963974453e-07,,,,,,,,,,,,
2019-11-22,,,2.463597201463385e-08,1.2890406730598444e-07,,,,,,,,,,,,
2019-11-23,,,,8.284029060610631e-08,,,,,,,,,,,,
2019-11-24,,,,,,,,,,,,,,,,
2019-11-25,,,2.1343816733110503e-08,,,,,,,,,,,,,
2019-11-26,,,1.7122426272459102e-08,2.758474723970719e-07,,,,,,,,,,,,
2019-11-27,,,1.755237994387135e-08,1.99842030018264e-06,,,,,,,,,,,,
2019-11-28,,,1.5264301223033817e-08,5.28116219367699e-07,,,,,,,,,,,,
2019-11-29,,,3.183168208670937e-08,1.4586829553263425e-07,,,,,,,,,,,,
2019-11-30,,,4.2571676805862416e-08,8.556478925291962e-08,,,,,,,,,,,,
2019-12-01,,,2.525703862701439e-08,1.248232899379492e-07,,,,,,,,,,,,
2019-12-02,,,6.655562316322462e-08,1.0639943667882245e-07,,,,,,,,,,,,
2019-12-03,,,3.3145236986024846e-08,1.3181941784597434e-07,,,,,,,,,,,,
2019-12-04,,,9.397622886561982e-08,,,,,,,,,,,,,
2019-12-05,,,2.8983310582132272e-08,9.093697702397116e-08,,,,,,,,,,,,
2019-12-06,,,1.992478334512864e-08,1.5282864265237556e-07,,,,,,,,,,,,
2019-12-07,,,1.8470276345773147e-08,3.0965333631632716e-07,,,,,,,,,,,,
2019-12-08,,,,2.3754616974264644e-07,,,,,,,,,,,,
2019-12-09,,,2.578034144940805e-08,1.1791984408705597e-07,,,,,,,,,,,,
2019-12-10,,,,1.66627340913932e-07,,,,,,,,,,,,
2019-12-11,,,2.2958021114085335e-08,9.94367610402107e-08,,,,,,,,,,,,
2019-12-12,,,,9.843416185148622e-08,,,,,,,,,,,,
2019-12-13,,,4.1725044059907986e-08,8.004364357836025e-08,,,,,,,,,,,,
2019-12-14,,,,,,,,,,,,,,,,
2019-12-15,,,,,,,,,,,,,,,,
2019-12-16,,,4.1441302102841146e-08,9.76294276848325e-08,,,,,,,,,,,,
2019-12-17,,,,9.167649652621253e-08,,,,,,,,,,,,
2019-12-18,,,1.6409465524508792e-08,,,,,,,,,,,,,
2019-12-19,,,2.9698977401840202e-08,9.665178506475244e-08,,,,,,,,,,,,
2019-12-20,,,4.28918681135676e-08,1.2344979832960378e-07,,,,,,,,,,,,
2019-12-21,,,1.5273461767949708e-08,1.2394328900445627e-07,,,,,,,,,,,,
2019-12-22,,,7.850362168234442e-08,3.5236819262531427e-07,,,,,,,,,,,,
2019-12-23,,,,3.015725733817896e-07,,,,,,,,,,,,
2019-12-24,,,,1.6371795419043122e-07,,,,,,,,,,,,
2019-12-25,,,,7.958436059610119e-08,,,,,,,,,,,,
2019-12-26,,,1.6350604174036192e-08,,,,,,,,,,,,,
2019-12-27,,,,9.536535538521545e-08,,,,,,,,,,,,
2019-12-28,,,2.574463194174072e-08,9.24985541801513e-08,,,,,,,,,,,,
2019-12-29,,,,,,,,,,,,,,,,
2019-12-30,,,,,,,,,,,,,,,,
2019-12-31,,,4.5524792574412064e-08,2.622596277263412e-07,,,,,,,,,,,,
2020-01-01,,,,2.0009685072376666e-07,,,,,,,,,,,,
2020-01-02,,,,1.0750396333965778e-07,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,
2020-01-04,,,,,,,,,,,,,,,,
2020-01-05,,,,2.329582201763369e-07,,,,,,,,,,,,
2020-01-06,,,2.2049674628386282e-08,4.1176989767099683e-07,,,,,,,,,,,,
2020-01-07,,,,4.618351591450197e-07,,,,,,,,,,,,
2020-01-08,,,,3.71633427529577e-07,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,
2020-01-11,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,
2020-01-13,,,2.5360888615104006e-08,4.249443544497512e-07,,,,,,,,,,,,
2020-01-14,,,1.9667862512043123e-08,2.779717994246368e-07,,,,,,,,,,,,
2020-01-15,,,,1.1966893118350582e-07,,,,,,,,,,,,
2020-01-16,,,,,,,,,,,,,,,,
2020-01-17,,,2.0165645790371194e-08,2.252523425442923e-07,,,,,,,,,,,,
2020-01-18,,,5.9056833945137237e-08,,8.740105808740599e-08,,,,,,,,,,,
2020-01-19,,,2.09370358531769e-08,,,,,,,,,,,,,
2020-01-20,,,2.0526945577771323e-08,,,,,,,,,,,,,
